,context,answer,T5,GPT-3
307,When used to control access to areas where leading edge and other operations are taking place the controlled access zone shall be defined by a control line or by any other means that restricts access.,a control line or by any other means that restricts access,How is the controlled access zone defined?,What are the methods used to define a controlled access zone?
308,"When control lines are used, they shall be erected not less than 6 feet (1.8 m) nor more than 25 feet (7.7 m) from the unprotected or leading edge, except when erecting precast concrete members.",6 feet (1.8 m),How far from the unprotected or leading edge should the control lines be erected?,What is the minimum distance that control lines shall be erected from the unprotected or leading edge?
309,"When control lines are used, they shall be erected not less than 6 feet (1.8 m) nor more than 25 feet (7.7 m) from the unprotected or leading edge, except when erecting precast concrete members.",25 feet (7.7 m) ,How far from the unprotected or leading edge should the control lines be erected?,What is the maximum distance between control lines and the unprotected or leading edge when erecting precast concrete members?
310,"When control lines are used, they shall be erected not less than 6 feet (1.8 m) nor more than 25 feet (7.7 m) from the unprotected or leading edge, except when erecting precast concrete members.",not less than 6 feet (1.8 m) nor more than 25 feet (7.7 m),How far from the unprotected or leading edge should control lines be erected?,What is the minimum and maximum distance that control lines must be placed from the unprotected or leading edge when erecting precast concrete members?
311,"When erecting precast concrete members, the control line shall be erected not less than 6 feet (1.8 m) nor more than 60 feet (18 m) or half the length of the member being erected, whichever is less, from the leading edge.",6 feet (1.8 m),How long must the control line be?,What is the maximum distance from the leading edge that the control line must be erected when erecting precast concrete members?
312,"When erecting precast concrete members, the control line shall be erected not less than 6 feet (1.8 m) nor more than 60 feet (18 m) or half the length of the member being erected, whichever is less, from the leading edge.",60 feet (18 m),How long must the control line be from the leading edge?,What is the maximum distance the control line can be erected from the leading edge of the precast concrete member?
313,"When erecting precast concrete members, the control line shall be erected not less than 6 feet (1.8 m) nor more than 60 feet (18 m) or half the length of the member being erected, whichever is less, from the leading edge.",6 feet (1.8 m) nor more than 60 feet (18 m) or half the length of the member being erected,How long must the control line be?,What is the maximum distance between the control line and the leading edge when erecting precast concrete members?
314,The control line shall be connected on each side to a guardrail system or wall.,connected ,How is the control line connected to a guardrail system?,What is the control line being connected to?
315,"1926.502(g)(2)
When used to control access to areas where overhand bricklaying and related work are taking place:

1926.502(g)(2)(i)
The controlled access zone shall be defined by a control line erected not less than 10 feet (3.1 m) nor more than 15 feet (4.5 m) from the working edge.

1926.502(g)(2)(ii)
The control line shall extend for a distance sufficient for the controlled access zone to enclose all employees performing overhand bricklaying and related work at the working edge and shall be approximately parallel to the working edge.

1926.502(g)(2)(iii)
Additional control lines shall be erected at each end to enclose the controlled access zone.

1926.502(g)(2)(iv)
Only employees engaged in overhand bricklaying or related work shall be permitted in the controlled access zone.",10 feet (3.1 m) ,What is the minimum distance of the control line?,What is the minimum distance a control line must be erected from the working edge to define the controlled access zone?
316,"1926.502(g)(2)
When used to control access to areas where overhand bricklaying and related work are taking place:

1926.502(g)(2)(i)
The controlled access zone shall be defined by a control line erected not less than 10 feet (3.1 m) nor more than 15 feet (4.5 m) from the working edge.

1926.502(g)(2)(ii)
The control line shall extend for a distance sufficient for the controlled access zone to enclose all employees performing overhand bricklaying and related work at the working edge and shall be approximately parallel to the working edge.

1926.502(g)(2)(iii)
Additional control lines shall be erected at each end to enclose the controlled access zone.

1926.502(g)(2)(iv)
Only employees engaged in overhand bricklaying or related work shall be permitted in the controlled access zone.",15 feet (4.5 m) ,How far from the working edge of the controlled access zone is the control line erected?,What is the maximum distance of the control line erected from the working edge when used to control access to areas where overhand bricklaying and related work are taking place?
317,"1926.502(g)(2)
When used to control access to areas where overhand bricklaying and related work are taking place:

1926.502(g)(2)(i)
The controlled access zone shall be defined by a control line erected not less than 10 feet (3.1 m) nor more than 15 feet (4.5 m) from the working edge.

1926.502(g)(2)(ii)
The control line shall extend for a distance sufficient for the controlled access zone to enclose all employees performing overhand bricklaying and related work at the working edge and shall be approximately parallel to the working edge.

1926.502(g)(2)(iii)
Additional control lines shall be erected at each end to enclose the controlled access zone.

1926.502(g)(2)(iv)
Only employees engaged in overhand bricklaying or related work shall be permitted in the controlled access zone.",less than 10 feet (3.1 m) nor more than 15 feet (4.5 m),What is the minimum distance of the control line?,What is the maximum distance that a control line should be erected from the working edge to define the controlled access zone?
